S.No,Topic,Lvl 3 Folder name,Lvl 2 Folder name,Lvl 1 Folder name,Category,Type,Link
1,Polarion,,,TRAINING VIDEOS _ 2024 BATCH,Requirement management Tool,Video,Freshers Session On Polarian-20240410_144920-Meeting Recording.mp4
2,Requirement,,,TRAINING VIDEOS _ 2024 BATCH,Requirement,Video,Freshers Session On System Requirement-20240404_144034-Meeting Recording.mp4
3,Embedded C++,,Embedded C++,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Sessions For Embedded C++-20240320_141101-Meeting Recording.mp4
4,Embedded C++,,Embedded C++,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Sessions For Embedded C++-20240321_141434-Meeting Recording.mp4
5,Embedded C++,,Embedded C++,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Sessions For Embedded C++-20240322_142330-Meeting Recording.mp4
6,Embedded C++,,Embedded C++,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Sessions For Embedded C++-20240325_140809-Meeting Recording.mp4
7,Embedded C++,,Embedded C++,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Sessions For Embedded C++-20240326_140737-Meeting Recording.mp4
8,"Embedded Protocols(I2C,SPI,UART)",,"Embedded Protocols(I2C,SPI,UART)",TRAINING VIDEOS _ 2024 BATCH,Software,Video,"Freshers Session For I2C, SPI, and UART-20240402_120322-Meeting Recording.mp4"
9,Linux,,Linux,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Training session on linux-20240516_150156-Meeting Recording.mp4
10,Python,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,About Python Session-20240429_113125-Meeting Recording.mp4
11,Python,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,About Python Session-20240429_113625-Meeting Recording.mp4
12,Python,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,About Python Session-20240430_152121-Meeting Recording.mp4
13,Python,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Session On Python-20240425_102633-Meeting Recording.mp4
14,Python,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Session On Python-20240425_140641-Meeting Recording.mp4
15,Aspice,,,TRAINING VIDEOS _ 2024 BATCH,Quality,Video,Fresher Session On Aspice-20240312_150125-Meeting Recording.mp4
16,MIL Testing,,,TRAINING VIDEOS _ 2024 BATCH,System Testing,Video,Freshers MIL Testing Training-20240416_150218-Meeting Recording.mp4
17,MAT Lab ,,,TRAINING VIDEOS _ 2024 BATCH,Software & System,Video,Freshers Session For MATLAB-Part1.mp4
18,MAT Lab ,,,TRAINING VIDEOS _ 2024 BATCH,Software & System,Video,Freshers Session For MATLAB-Part2.mp4
19,Cloud Concepts,,,TRAINING VIDEOS _ 2024 BATCH,System,Video,Freshers Session On Cloud Concepts-20240419_110101-Meeting Recording.mp4
20,Cloud Concepts,,,TRAINING VIDEOS _ 2024 BATCH,System,Video,Freshers Session On Cloud Concepts-20240422_105956-Meeting Recording.mp4
21,Systems Engineering Introduction,,,TRAINING VIDEOS _ 2024 BATCH,System,Video,Freshers Session On Introduction to Systems engineering-20240417_150253-Meeting Recording.mp4
22,Systems Engineering Introduction,,,TRAINING VIDEOS _ 2024 BATCH,System,Video,Freshers Session On Introduction to Systems engineering-20240418_150843-Meeting Recording - Copy.mp4
23,"Testing  Introduction - Unit,MIL,SIL,HIL,CANOE,Basics of CAPL",,,TRAINING VIDEOS _ 2024 BATCH,Testing,Video,"Freshers Session On Introduction to testing- Unit, MIL, SIL, HIL, CANOE, Basics of CAPL-20240424_110206-Meeting Recording.mp4"
24,LIN,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Session On LIN-20240509_112710-Meeting Recording.mp4
25,SysML,,,TRAINING VIDEOS _ 2024 BATCH,Architecture,Video,Freshers Session On SysML-20240405_150455-Meeting Recording.mp4
26,SysML,,,TRAINING VIDEOS _ 2024 BATCH,Architecture,Video,Freshers Session On SysML-20240412_144515-Meeting Recording.mp4
27,System Requirement,,,TRAINING VIDEOS _ 2024 BATCH,System,Video,Freshers Session On System Requirement-20240404_144034-Meeting Recording.mp4
28,AUTOSAR Technology and Concepts,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Sessions On AUTOSAR Technology and Concepts-20240429_152458-Meeting Recording.mp4
29,AUTOSAR Technology and Concepts,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Sessions On AUTOSAR Technology and Concepts-20240502_102912-Meeting Recording.mp4
30,AUTOSAR Technology and Concepts,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Freshers Sessions On AUTOSAR Technology and Concepts-20240503_104043-Meeting Recording.mp4
31,Recap of Electronics and Electrical,,,TRAINING VIDEOS _ 2024 BATCH,Electrical,Video,Freshers Sessions On Recap of electronics and electrical-20240507_163417-Meeting Recording.mp4
32,"Trends in Automotive Domain, EV, PHEV,E-mobility, Cars for Future",,,TRAINING VIDEOS _ 2024 BATCH,System,Video,"Freshers Sessions On Trends in Automotive domain, EV, PHEV, E-mobility, Cars of future, SDV-20240510_163653-Meeting Recording.mp4"
33,Bootloader Review,,,TRAINING VIDEOS _ 2024 BATCH,Software,Video,Session On Bootloader overview-20240510_102040-Meeting Recording.mp4
34,Session on UDS,,,TRAINING VIDEOS _ 2024 BATCH,System,Video,Session on UDS-20240515_110613-Meeting Recording.mp4
35,HRMS Tool,,,TRAINING VIDEOS _ 2024 BATCH,Tool,Video,Training on HRMS tool-20240322_171243-Meeting Recording.mp4
36,CAN,,,TRAINING VIDEOS _ 2024 BATCH,Software & System,Video,Training session 1 on CAN-20240515_160531-Meeting Recording.mp4
37,CAN,,,TRAINING VIDEOS _ 2024 BATCH,Software & System,Video,Trainins session 2 on CAN-20240516_104431-Meeting Recording.mp4
38,Makefile,,,TRAINING VIDEOS _ 2024 BATCH,Quality,Video,Training session on Makefile-20240517_113030-Meeting Recording.mp4
39,Automotive_10 Mbs_Domain_Peter,,,VECTOR INDIA CONFERENCE,Software & System,Documents,IAST Software Solutions Pvt Ltd - Automotive_10Mbs_Domain_Peter.pdf - All Documents
40,Automotive Ethernet_V4_Bosch,,,VECTOR INDIA CONFERENCE,Software & System,Documents,AutomotiveEthernet_v4_Bosh.pdf
41,Fails - Operational System with Classic and Adaptive AUTOSAR_Markus,,,VECTOR INDIA CONFERENCE,System,Documents,Fail-Operationals System with Classic and Adaptive AUTOSAR_Markus.pdf
42,How Software Designed Vehicles are driving Software Quality_Kishan,,,VECTOR INDIA CONFERENCE,Software,Documents,How Software Defined Vehicles are driving Software Quality_Kishan.pdf
43,MACsec_2_CANsec,,,VECTOR INDIA CONFERENCE,Software,Documents,MACsec_2_CANsec.pdf
44,MICROSAR_Cyber_Security_keymanagement,,,VECTOR INDIA CONFERENCE,Software,Documents,MICROSAR_Cyber_Security_KeyManagement.pdf
45,Next Generation Diagnostics Compliance in Vehicles ,,,VECTOR INDIA CONFERENCE,Software,Documents,NextGenerationDiagnosticsComplianceInVehicles.pdf
46,Security Boot Demystified in Automotive,,,VECTOR INDIA CONFERENCE,Software,Documents,SECURE BOOT DEMYSTIFIED IN AUTOMOTIVE_V1.2.pdf
47,Security_Safety_Overview_Ebert,,,VECTOR INDIA CONFERENCE,Software,Documents,Security_Safety_Overview_Ebert.pdf
48,Smart_watches_in_automotive_network,,,VECTOR INDIA CONFERENCE,Software,Documents,SmartSwitches_in_Automotive_Networks-Umesh.pdf
50,Adaptive AUTOSAR,,Adaptive AUTOSAR,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Training Session_ IAST Software Solutions Pvt Ltd-Adaptive AUTOSAR-Meeting Recording.mp4
51,Basic Operating System,,Basic Operating System,TRAINING VIDEOS _ 2021 BATCH,Software,Video,OS_concept_session1_Basic_Operating_System.mp4
52,Process Scheduling,,Basic Operating System,TRAINING VIDEOS _ 2021 BATCH,Software,Video,OS_concept_session2_Process_Scheduling.mp4
53,IPC,,Basic Operating System,TRAINING VIDEOS _ 2021 BATCH,Software,Video,OS_concept_session3_IPC.mp4
54,Process Sync_Memory Management,,Basic Operating System,TRAINING VIDEOS _ 2021 BATCH,Software,Video,OS_concept_session4_ProcessSync_MemoryManagement.mp4
55,Deadlocks,,Basic Operating System,TRAINING VIDEOS _ 2021 BATCH,Software,Video,OS_concept_session5_Deadlocks.mp4
56,Real Time Scheduling,,Basic Operating System,TRAINING VIDEOS _ 2021 BATCH,Software,Video,OS_concept_session7_RealTimeScheduling.mp4
57,RTOS,,Basic Operating System,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Revision Session On RTOS.mp4
58,C Programming,,C Programming,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Training for Calendar Week-3-20220117_084627-Meeting Recording.mp4
59,CAN_Control Flow,,CAN Control_Flow,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Training Session_ IAST Software Solutions Pvt Ltd_20220517_093156.mp4
60,Canoe Lab,,Canoe Lab,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Canoe _ Ashith.mp4
61,"Communication, CAN_STACK",,"Communication, CAN_STACK",TRAINING VIDEOS _ 2021 BATCH,Software,Video,Session 1.mp4
62,"Communication, CAN_STACK",,"Communication, CAN_STACK",TRAINING VIDEOS _ 2021 BATCH,Software,Video,Session 2.mp4
63,"Communication, CAN_STACK",,"Communication, CAN_STACK",TRAINING VIDEOS _ 2021 BATCH,Software,Video,Session 3.mp4
64,"Communication, CAN_STACK",,"Communication, CAN_STACK",TRAINING VIDEOS _ 2021 BATCH,Software,Video,session 4.mp4
65,"Communication, CAN_STACK",,"Communication, CAN_STACK",TRAINING VIDEOS _ 2021 BATCH,Software,Video,Session 5.mp4
66,"Communication, CAN_STACK",,"Communication, CAN_STACK",TRAINING VIDEOS _ 2021 BATCH,Software,Video,Session 6.mp4
67,"Communication, CAN_STACK",,"Communication, CAN_STACK",TRAINING VIDEOS _ 2021 BATCH,Software,Video,Session 7.mp4
68,Debugging Techniques,,Debugging Techniques,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Debugging Techniques lab_Sachin.mp4
69,Design Techniques using MATLAB,,Design Techniques using MATLAB,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Q and A Session.mp4
70,Design Techniques using MATLAB,,Design Techniques using MATLAB,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Session 1.mp4
71,Design Techniques using MATLAB,,Design Techniques using MATLAB,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Session 2.mp4
72,Diagnostic Session,,Diagnostic Session,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Diagnostic session 1 .mp4
73,Diagnostic Session,,Diagnostic Session,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Diagnostic session 2.mp4
74,Diagnostic Session,,Diagnostic Session,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Diagnostic session 3.mp4
75,Diagnostic Session,,Diagnostic Session,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Diagnostic Session 4.mp4
76,ECU,,ECU,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Training for Calendar Week-3-20220120_090613-Meeting Recording.mp4
77,Ethernet Protocol,,Ethernet Protocol,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Ethenet 1.mp4
78,Ethernet Protocol,,Ethernet Protocol,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,ETHERNET 2nd Training Session _ IAST Software Solutions Pvt Ltd.mp4
79,IBM Rapsody,,IBM Rapsody,TRAINING VIDEOS _ 2021 BATCH,Requirement management Tool,Video,Training Session _IAST Software Solutions Pvt Ltd_20220329_030504.mp4
80,Memory Stack,,Memory Stack,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Session 1 Basic Memory Concepts.mp4
81,Memory Stack,,Memory Stack,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Session 2 Basic Memory Concepts.mp4
82,Microcontroller,,Microcontroller,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Training for Calendar Week-4-20220124_083117-Meeting Recording.mp4
83,Network Management,,Network Management,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,QA Session_ Sandeep.mp4
84,Network Management,,Network Management,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Session 1_ Sandeep.mp4
85,Query Handling,,Query Handling,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Query Handling session _ 1.mp4
86,Software Layers,,Software Layers,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Software Layer-2.mp4
87,Software Layers,,Software Layers,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Training Session _IAST Software Solutions Pvt Ltd-20220331_083434-Meeting Recording.mp4
88,Advance Tech in Car,,,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Advance_tech_in_car_session1.mp4
89,Application Software,,,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,Application_software_by_sumanth.mp4
90,Basics,,,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Basics Day_1 session.mp4
91,CAN Protocol Q&A,,,TRAINING VIDEOS _ 2021 BATCH,Software & System,Video,CAN Protocol Q&A and Practicle session.mp4
92,Drivers,,,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Training for Calendar Week-5-20220201_083659-Meeting Recording.mp4
93,Drivers,,,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Training for Calendar Week-5-20220202_084044-Meeting Recording.mp4
94,Drivers,,,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Training for Calendar Week-5-20220203_083442-Meeting Recording.mp4
95,Drivers,,,TRAINING VIDEOS _ 2021 BATCH,Software,Video,Training for Calendar Week-5-20220204_083852-Meeting Recording.mp4
97,Basics of C,,,TRAINING VIDEOS _ 2022 BATCH,Software,Video,Training Session 1 ( Basics of C )_ IAST Software Solutions Pvt Ltd-20221107_110009-Meeting Recording.mp4
98,"Overview of Synchronous and Asynchronous I2C, SPI and UART",,,TRAINING VIDEOS _ 2022 BATCH,Software,Video,"Training Session 10 ( Overview of Synchronous and Asynchronous, I2C, SPI and UART) .mp4"
99,"Overview of Synchronous and Asynchronous I2C, SPI and UART",,,TRAINING VIDEOS _ 2022 BATCH,Software,Video,"Training Session 11 ( Overview of Synchronous and Asynchronous, I2C, SPI and UART) _ IAST Software Solutions Pvt Ltd-20221202_103959-Meeting Recording.mp4"
100,Software Architecture of Typical ECU,,,TRAINING VIDEOS _ 2022 BATCH,Software,Video,"Training Session 12 ( Software Architecture of typical ECU - Overview on Firmware, Low Level Drivers and Applications_ IAST Software Solutions Pvt Ltd-20221205_105713-Meeting Recording.mp4"
101,Bootloader Overview,,,TRAINING VIDEOS _ 2022 BATCH,Software,Video,Training session 13 ( Bootloader overview) _ IAST Software Solutions Pvt Ltd-20221206_162949-Meeting Recording.mp4
102,Recap of Electrical and Electronics along with Sensors,,,TRAINING VIDEOS _ 2022 BATCH,Software & System,Video,Training Session 14 ( Recap of electronics and electrical along with sensros)_ IAST Software Solutions Pvt Ltd-20221207_111954-Meeting Recording.mp4
103,Recap of Electrical and Electronics along with Sensors,,,TRAINING VIDEOS _ 2022 BATCH,Software & System,Video,Training Session 15 ( Recap of electronics and electrical along with sensros)_ IAST Software Solutions Pvt Ltd-20221208_110337-Meeting Recording.mp4
104,Automotive Protocols_CAN,,,TRAINING VIDEOS _ 2022 BATCH,Software & System,Video,Training session 16 ( Automotive Protocols _ CAN) _ IAST Software Solutions Pvt Ltd-20221212_113512-Meeting Recording.mp4
105,Automotive Protocols_CAN,,,TRAINING VIDEOS _ 2022 BATCH,Software & System,Video,Training session 17 ( Automotive Protocols _ CAN) _ IAST Software Solutions Pvt Ltd-20221213_110527-Meeting Recording.mp4
106,Automotive Protocols_CAN,,,TRAINING VIDEOS _ 2022 BATCH,Software & System,Video,Training session 18( Automotive Protocols _ CAN) _ IAST Software Solutions Pvt Ltd-20221214_110306-Meeting Recording.mp4
107,Automotive Protocols_LIN,,,TRAINING VIDEOS _ 2022 BATCH,Software & System,Video,Training session 19( Automotive Protocols _ LIN) _ IAST Software Solutions Pvt Ltd-20221215_113133-Meeting Recording.mp4
108,Basics of C,,,TRAINING VIDEOS _ 2022 BATCH,Software,Video,Training Session 2 ( Basics of C )_ IAST Software Solutions Pvt Ltd-20221108_103435-Meeting Recording.mp4
109,Automotive Protocols_Ethernet,,,TRAINING VIDEOS _ 2022 BATCH,Software & System,Video,Training session 20 ( Automotive Protocols _ Ethernet) _ IAST Software Solutions Pvt Ltd-20221220_140343-Meeting Recording.mp4
110,Diagnostics Overview based  on ISO14229,,,TRAINING VIDEOS _ 2022 BATCH,Software & System,Video,Training Session 21 (Diagnostics overview based on ISO14229) _ IAST Software Solutions Pvt Ltd-20221221_110319-Meeting Recording.mp4
111,Diagnostics Overview based  on ISO14230,,,TRAINING VIDEOS _ 2022 BATCH,Software,Video,Training Session 22 (Diagnostics overview based on ISO14229) _ IAST Software Solutions Pvt Ltd-20221222_110602-Meeting Recording.mp4
112,Diagnostics Overview based  on ISO14231,,,TRAINING VIDEOS _ 2022 BATCH,Software,Video,Training Session 23 (Diagnostics overview based on ISO14229) _ IAST Software Solutions Pvt Ltd-20221226_110407-Meeting Recording.mp4
